
Host: WX400847

Timers On : Thu Apr 30 10:42:18 2026
Timers Off: Thu Apr 30 10:42:25 2026

Wall Time:        6.97 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: WX400847

Timers On : Thu Apr 30 10:42:54 2026
Timers Off: Thu Apr 30 10:46:25 2026

Wall Time:      211.86 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      3.594w    106 calls
build grid                          :      0.000u      0.000s      2.096w    106 calls
post-process grid                   :      0.000u      0.000s      1.480w    106 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.707w    106 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.677w    742 calls
DFH: initialize()                   :      0.000u      0.000s      2.041w    106 calls
DFH: AO Construction                :      0.000u      0.000s      0.262w    106 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.033w    106 calls
HF: Form core H                     :      0.000u      0.000s      0.771w    106 calls
HF: Form S/X                        :      0.000u      0.000s      0.030w    106 calls
HF: Guess                           :      0.000u      0.000s      4.941w    106 calls
SAD Guess                           :      0.000u      0.000s      4.719w    106 calls
HF: Form G                          :      0.000u      0.000s    110.056w    859 calls
RV: Form V                          :      0.000u      0.000s    109.828w    859 calls
Properties                          :      0.000u      0.000s     18.344w 538704 calls
Functional                          :      0.000u      0.000s     99.064w 538704 calls
V_xc                                :      0.000u      0.000s     10.110w 479532 calls
JK: D                               :      0.000u      0.000s      0.009w    859 calls
JK: USO2AO                          :      0.000u      0.000s      0.008w    859 calls
JK: JK                              :      0.000u      0.000s      0.142w    859 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.139w    859 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    859 calls
DFH: compute_J                      :      0.000u      0.000s      0.063w    859 calls
DFH: compute_K                      :      0.000u      0.000s      0.065w    859 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w    859 calls
HF: Form F                          :      0.000u      0.000s      0.008w    859 calls
HF: Form D                          :      0.000u      0.000s      0.004w    859 calls
HF: DIIS                            :      0.000u      0.000s      7.374w    753 calls
HF: Form C                          :      0.000u      0.000s      0.485w    753 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.043w    106 calls
Grad: S                             :      0.000u      0.000s      0.011w    106 calls
Grad: JK                            :      0.000u      0.000s      5.999w    106 calls
JKGrad: Amn                         :      0.000u      0.000s      1.291w    106 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w    106 calls
JKGrad: AB                          :      0.000u      0.000s      0.684w    106 calls
JKGrad: UV                          :      0.000u      0.000s      0.027w    106 calls
JKGrad: ABx                         :      0.000u      0.000s      0.216w    106 calls
JKGrad: Amnx                        :      0.000u      0.000s      1.487w    106 calls
Grad: XC                            :      0.000u      0.000s     22.256w    106 calls
V_xc gradient                       :      0.000u      0.000s      3.406w  59172 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      3.594w    106 calls
| build grid                        :      0.000u      0.000s      2.096w    106 calls
| post-process grid                 :      0.000u      0.000s      1.480w    106 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.707w    106 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.522w    106 calls
DFH: initialize()                   :      0.000u      0.000s      2.041w    106 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.346w    212 calls
| DFH: AO Construction              :      0.000u      0.000s      0.262w    106 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.033w    106 calls
HF: Form core H                     :      0.000u      0.000s      0.771w    106 calls
HF: Form S/X                        :      0.000u      0.000s      0.030w    106 calls
HF: Guess                           :      0.000u      0.000s      4.941w    106 calls
| SAD Guess                         :      0.000u      0.000s      4.719w    106 calls
HF: Form G                          :      0.000u      0.000s    110.056w    859 calls
| RV: Form V                        :      0.000u      0.000s    109.828w    859 calls
| | Properties                      :      0.000u      0.000s     10.299w 479532 calls
| | Functional                      :      0.000u      0.000s     88.535w 479532 calls
| | V_xc                            :      0.000u      0.000s     10.110w 479532 calls
| JK: D                             :      0.000u      0.000s      0.009w    859 calls
| JK: USO2AO                        :      0.000u      0.000s      0.008w    859 calls
| JK: JK                            :      0.000u      0.000s      0.142w    859 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.139w    859 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    859 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.063w    859 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.065w    859 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w    859 calls
HF: Form F                          :      0.000u      0.000s      0.008w    859 calls
HF: Form D                          :      0.000u      0.000s      0.004w    859 calls
HF: DIIS                            :      0.000u      0.000s      7.374w    753 calls
HF: Form C                          :      0.000u      0.000s      0.485w    753 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.043w    106 calls
